Date,Open,High,Low,Close,Adj Close,Volume
2021-11-15,3537.000000,3593.879883,3525.810059,3545.679932,3545.679932,2929719
2021-11-16,3539.000000,3576.500000,3525.146484,3540.699951,3540.699951,2217071
2021-11-17,3564.719971,3587.245117,3545.350098,3549.000000,3549.000000,2560270
2021-11-18,3566.350098,3704.199951,3561.000000,3696.060059,3696.060059,5703538
2021-11-19,3712.689941,3762.145020,3675.719971,3676.570068,3676.570068,4946203
2021-11-22,3676.376709,3713.455078,3567.500000,3572.570068,3572.570068,4847850
2021-11-23,3585.040039,3621.050049,3527.709961,3580.040039,3580.040039,3692246
2021-11-24,3562.669922,3613.639893,3536.850098,3580.409912,3580.409912,2328018
2021-11-26,3602.094971,3633.500000,3504.149902,3504.560059,3504.560059,2991297
2021-11-29,3547.644287,3596.000000,3531.500000,3561.570068,3561.570068,3265557
2021-11-30,3563.500000,3585.770020,3492.010010,3507.070068,3507.070068,4001107
2021-12-01,3545.000000,3559.879883,3441.600098,3443.719971,3443.719971,3756995
2021-12-02,3460.000000,3492.699951,3423.750000,3437.360107,3437.360107,3236288
2021-12-03,3455.000000,3469.864990,3338.600098,3389.790039,3389.790039,4035550
2021-12-06,3393.000000,3473.909912,3338.689941,3427.370117,3427.370117,3443000
2021-12-07,3492.000000,3549.989990,3466.689941,3523.290039,3523.290039,3320536
2021-12-08,3523.010010,3543.600098,3495.010010,3523.159912,3523.159912,2262683
2021-12-09,3515.000000,3539.389893,3482.790039,3483.419922,3483.419922,2137748
2021-12-10,3508.340088,3518.540039,3410.000000,3444.239990,3444.239990,2941664
